MMTC Name,Dispensing Locations,Medical Marijuana (mgs THC),Low-THC Cannabis (mgs CBD),Marijuana in a Form for Smoking (oz),Report Date
Surterra Welln ess,39,14240567,1223519,3309.184,2020-11-20
Curaleaf,33,14588827,117108,3010.751,2020-11-20
Liberty Health Sciences,27,7235120,56525,1073.062,2020-11-20
AltMed Florida (MüV),27,11836368,132817,3642.639,2020-11-20
Fluent,23,5708594,257160,1271.246,2020-11-20
VidaCann,17,2286982,52306,790.932,2020-11-20
GrowHealthy,16,6408596,43809,3468.469,2020-11-20
Columbia Care Florida,14,1150152,48235,1356.791,2020-11-20
MedMen,10,1271192,18700,520.711,2020-11-20
GTI (Rise Dispensaries),7,1025737,13957,853.102,2020-11-20
Harvest,6,1371297,3095,1119.747,2020-11-20
One Plant,6,1511507,1652,1255.48,2020-11-20
The Botanist,1,0,0,124.336,2020-11-20
Revolution Florida,0,0,0,0.0,2020-11-20
"Perkins Nursery, Inc",0,0,0,6.125,2020-11-20
The Source,0,0,0,0.0,2020-11-20
"Sanctuary Medicinals, LLC",0,0,0,0.0,2020-11-20
The Flowery,0,0,0,48.602,2020-11-20
Green Dragon,0,0,0,0.0,2020-11-20
Trulieve,67,64962818,1427927,25210.7,2020-11-13
Surterra Welln ess,39,13422123,1161988,3854.276,2020-11-13
Curaleaf,33,13212089,119584,2837.92,2020-11-13
Liberty Health Sciences,27,5128180,84465,1183.625,2020-11-13
AltMed Florida (MüV),27,12517779,158892,3675.253,2020-11-13
Fluent,23,5351388,305070,1520.988,2020-11-13
VidaCann,17,2484562,46737,705.644,2020-11-13
GrowHealthy,16,5160262,42374,3597.979,2020-11-13
Columbia Care Florida,14,771759,43420,310.956,2020-11-13
MedMen,10,1139587,22110,416.286,2020-11-13
GTI (Rise Dispensaries),7,1083907,10833,867.648,2020-11-13
Harvest,6,1282373,2380,727.951,2020-11-13
One Plant,6,1035534,6809,1526.429,2020-11-13
The Botanist,1,0,0,127.791,2020-11-13
Revolution Florida,0,0,0,0.0,2020-11-13
"Perkins Nursery, Inc",0,0,0,0.0,2020-11-13
The Source,0,0,0,0.0,2020-11-13
"Sanctuary Medicinals, LLC",0,0,0,0.0,2020-11-13
The Flowery,0,0,0,28.247,2020-11-13
Green Dragon,0,0,0,0.0,2020-11-13
Trulieve,65,74511882,1631372,28171.689,2020-11-06
Surterra Welln ess,39,13665480,1588602,3393.597,2020-11-06
Curaleaf,33,15180699,199827,2970.281,2020-11-06
Liberty Health Sciences,27,6560227,88312,1207.975,2020-11-06
AltMed Florida (MüV),26,15015607,174017,4112.753,2020-11-06
Fluent,23,5230545,281490,1202.659,2020-11-06
VidaCann,17,2503220,60749,601.881,2020-11-06
GrowHealthy,16,6025009,49670,3543.77,2020-11-06
Columbia Care Florida,14,825119,48150,653.135,2020-11-06
MedMen,10,1311248,19390,417.609,2020-11-06
Harvest,6,1420185,2440,740.326,2020-11-06
GTI (Rise Dispensaries),6,1180621,13095,1123.111,2020-11-06
One Plant,6,1433054,0,1660.382,2020-11-06
The Botanist,1,0,0,174.024,2020-11-06
Revolution Florida,0,0,0,0.0,2020-11-06
"Perkins Nursery, Inc",0,0,0,0.0,2020-11-06
The Source,0,0,0,0.0,2020-11-06
"Sanctuary Medicinals, LLC",0,0,0,0.0,2020-11-06
The Flowery,0,0,0,8.875,2020-11-06
Green Dragon,0,0,0,0.0,2020-11-06
Trulieve,65,66755407,1405418,25920.815,2020-10-30
Surterra Welln ess,39,12374600,1339256,3502.446,2020-10-30
Curaleaf,33,13723338,180403,3176.911,2020-10-30
Liberty Health Sciences,27,4427183,86801,1636.435,2020-10-30
AltMed Florida (MüV),26,12979241,173811,3436.36,2020-10-30
Fluent,23,5311128,300640,1237.611,2020-10-30
VidaCann,17,2133950,59443,744.662,2020-10-30
GrowHealthy,16,5075369,37151,2920.152,2020-10-30
Columbia Care Florida,14,1022205,36360,654.459,2020-10-30
MedMen,10,1213700,23660,376.997,2020-10-30
Harvest,6,1366418,2250,791.027,2020-10-30
GTI (Rise Dispensaries),6,1174294,14532,1211.196,2020-10-30
One Plant,6,1940110,1166,1111.592,2020-10-30
The Botanist,1,0,0,183.232,2020-10-30
Revolution Florida,0,0,0,0.0,2020-10-30
"Perkins Nursery, Inc",0,0,0,0.0,2020-10-30
The Source,0,0,0,0.0,2020-10-30
"Sanctuary Medicinals, LLC",0,0,0,0.0,2020-10-30
The Flowery,0,0,0,5.875,2020-10-30
Green Dragon,0,0,0,0.0,2020-10-30
Trulieve,64,65095308,1450525,26796.955,2020-10-23
Surterra Welln ess,39,12186720,1389480,3640.36,2020-10-23
Curaleaf,33,13151497,241952,3720.567,2020-10-23
Liberty Health Sciences,26,3937111,97604,1189.52,2020-10-23
AltMed Florida (MüV),26,14854911,153406,3410.551,2020-10-23
Fluent,22,5179535,241240,1113.214,2020-10-23
VidaCann,17,2044580,65857,686.432,2020-10-23
GrowHealthy,16,4615184,50270,3209.621,2020-10-23
Columbia Care Florida,14,923959,28151,810.708,2020-10-23
MedMen,10,1189611,19160,338.003,2020-10-23
Harvest,6,1332847,4165,919.667,2020-10-23
GTI (Rise Dispensaries),6,1171694,10572,942.969,2020-10-23
One Plant,6,1318478,6485,914.935,2020-10-23
The Botanist,1,0,0,179.873,2020-10-23
Revolution Florida,0,0,0,0.0,2020-10-23
"Perkins Nursery, Inc",0,0,0,0.0,2020-10-23
The Source,0,0,0,0.0,2020-10-23
"Sanctuary Medicinals, LLC",0,0,0,0.0,2020-10-23
The Flowery,0,0,0,6.125,2020-10-23
Green Dragon,0,0,0,0.0,2020-10-23
Trulieve,63,60793914,1486315,23986.812,2020-10-16
Surterra Welln ess,39,12803462,1358602,3795.402,2020-10-16
Curaleaf,33,12357636,81548,3334.699,2020-10-16
Liberty Health Sciences,26,5317310,105178,679.805,2020-10-16
AltMed Florida (MüV),26,13685297,141010,3861.778,2020-10-16
Fluent,22,5324498,305380,1279.923,2020-10-16
GrowHealthy,16,5429246,28315,3034.344,2020-10-16
VidaCann,16,2012585,66389,860.904,2020-10-16
Columbia Care Florida,14,949065,29100,919.752,2020-10-16
MedMen,10,1183719,15480,339.421,2020-10-16
Harvest,6,1300306,3445,515.37,2020-10-16
GTI (Rise Dispensaries),6,1232118,12052,940.148,2020-10-16
One Plant,6,744580,0,1118.625,2020-10-16
The Botanist,1,0,0,87.489,2020-10-16
Revolution Florida,0,0,0,0.0,2020-10-16
"Perkins Nursery, Inc",0,0,0,0.0,2020-10-16
The Source,0,0,0,0.125,2020-10-16
"Sanctuary Medicinals, LLC",0,0,0,0.0,2020-10-16
The Flowery,0,0,0,0.25,2020-10-16
Green Dragon,0,0,0,0.0,2020-10-16
Trulieve,62,61312893,1089131,26206.373,2020-10-09
Surterra Welln ess,39,13091983,1478107,4253.525,2020-10-09
Curaleaf,33,11729358,128286,2817.816,2020-10-09
Liberty Health Sciences,26,6135860,88105,1964.615,2020-10-09
AltMed Florida (MüV),26,13911600,152836,3890.604,2020-10-09
Fluent,22,4747262,252495,1370.025,2020-10-09
GrowHealthy,16,5098771,35888,2982.254,2020-10-09
VidaCann,16,2008574,48945,570.261,2020-10-09
Columbia Care Florida,14,893564,38040,876.98,2020-10-09
MedMen,10,1300479,22920,346.944,2020-10-09
Harvest,6,1215188,1923,648.114,2020-10-09
GTI (Rise Dispensaries),6,1111791,12619,1013.825,2020-10-09
One Plant,5,1135868,0,992.977,2020-10-09
The Botanist,1,0,0,84.405,2020-10-09
Revolution Florida,0,0,0,0.0,2020-10-09
"Perkins Nursery, Inc",0,0,0,0.0,2020-10-09
The Source,0,0,0,0.0,2020-10-09
"Sanctuary Medicinals, LLC",0,0,0,0.0,2020-10-09
The Flowery,0,0,0,0.0,2020-10-09
Green Dragon,0,0,0,0.0,2020-10-09
Trulieve,60,79914411,1326977,22375.557,2020-10-02
Surterra Welln ess,39,12660229,1450273,4413.839,2020-10-02
Curaleaf,33,17818993,187921,3386.544,2020-10-02
Liberty Health Sciences,26,4736090,139095,805.975,2020-10-02
AltMed Florida (MüV),26,14496551,152948,3383.587,2020-10-02
Fluent,21,4867346,225075,1531.788,2020-10-02
GrowHealthy,16,4456918,24806,3006.95,2020-10-02
VidaCann,16,2082440,52819,578.415,2020-10-02
Columbia Care Florida,13,877407,23835,895.257,2020-10-02
MedMen,10,1247292,15012,378.945,2020-10-02
Harvest,6,1304584,1660,691.51,2020-10-02
GTI (Rise Dispensaries),6,1142676,7768,1189.75,2020-10-02
One Plant,5,292855,228,1124.141,2020-10-02
The Botanist,1,0,0,122.829,2020-10-02
Revolution Florida,0,0,0,0.0,2020-10-02
"Perkins Nursery, Inc",0,0,0,0.5,2020-10-02
The Source,0,0,0,0.0,2020-10-02
"Sanctuary Medicinals, LLC",0,0,0,0.0,2020-10-02
The Flowery,0,0,0,0.0,2020-10-02
Green Dragon,0,0,0,0.0,2020-10-02
Trulieve,59,60071968,1264751,23834.124,2020-09-25
Surterra Welln ess,39,11066894,1583878,5360.309,2020-09-25
Curaleaf,33,14223511,230124,3057.954,2020-09-25
Liberty Health Sciences,26,6921780,90485,1930.495,2020-09-25
AltMed Florida (MüV),25,13682442,200567,2788.831,2020-09-25
Fluent,21,5355283,232650,1658.651,2020-09-25
GrowHealthy,16,4619129,20268,3375.983,2020-09-25
VidaCann,16,2204472,66032,495.209,2020-09-25
Columbia Care Florida,13,767360,25573,553.859,2020-09-25
MedMen,10,1102029,14490,279.867,2020-09-25
Harvest,6,1235534,5423,541.429,2020-09-25
GTI (Rise Dispensaries),6,1131645,10065,923.396,2020-09-25
One Plant,5,410213,0,950.562,2020-09-25
The Botanist,1,0,0,128.699,2020-09-25
Revolution Florida,0,0,0,0.0,2020-09-25
"Perkins Nursery, Inc",0,0,0,1.125,2020-09-25
The Source,0,0,0,0.0,2020-09-25
"Sanctuary Medicinals, LLC",0,0,0,0.0,2020-09-25
The Flowery,0,0,0,0.0,2020-09-25
Green Dragon,0,0,0,0.0,2020-09-25
Trulieve,59,70328867,1451227,22616.375,2020-09-18
Surterra Welln ess,39,10682124,1497886,4522.871,2020-09-18
Curaleaf,33,13159498,185659,1836.941,2020-09-18
Liberty Health Sciences,26,7396895,98895,3444.745,2020-09-18
AltMed Florida (MüV),25,16261161,172055,3065.876,2020-09-18
Fluent,21,4947927,261380,1529.855,2020-09-18
GrowHealthy,16,5318804,47631,2914.802,2020-09-18
VidaCann,16,1933003,70922,620.664,2020-09-18
Columbia Care Florida,13,291877,24240,376.295,2020-09-18
Harvest,6,1288060,3365,773.718,2020-09-18
GTI (Rise Dispensaries),6,1066316,10094,1145.425,2020-09-18
One Plant,4,748437,0,827.955,2020-09-18
The Botanist,1,0,0,157.631,2020-09-18
Revolution Florida,0,0,0,0.0,2020-09-18
"Perkins Nursery, Inc",0,0,0,0.0,2020-09-18
The Source,0,0,0,0.0,2020-09-18
"Sanctuary Medicinals, LLC",0,0,0,0.0,2020-09-18
Trulieve,58,61685947,1506353,22567.092,2020-09-11
Surterra Welln ess,39,12694207,1828767,4541.252,2020-09-11
Curaleaf,33,10966882,203663,1844.177,2020-09-11
Liberty Health Sciences,26,4908535,100115,1869.21,2020-09-11
AltMed Florida (MüV),25,19479243,342905,4236.382,2020-09-11
Fluent,21,5746871,352185,1289.502,2020-09-11
GrowHealthy,16,5643715,7642,2487.896,2020-09-11
VidaCann,16,1562053,58384,851.54,2020-09-11
Columbia Care Florida,13,312747,25680,253.991,2020-09-11
MedMen,10,1054645,13410,254.968,2020-09-11
Harvest,6,1343028,3770,462.618,2020-09-11
GTI (Rise Dispensaries),6,966716,12463,1254.555,2020-09-11
One Plant,4,1020738,0,810.014,2020-09-11
The Botanist,1,0,0,127.785,2020-09-11
Revolution Florida,0,0,0,0.0,2020-09-11
"Perkins Nursery, Inc",0,0,0,0.0,2020-09-11
The Source,0,0,0,0.0,2020-09-11
"Sanctuary Medicinals, LLC",0,0,0,0.0,2020-09-11
Trulieve,57,58571340,1556466,20587.053,2020-09-04
Surterra Welln ess,39,12472543,1543399,5122.705,2020-09-04
Curaleaf,33,12859260,256039,3417.018,2020-09-04
Liberty Health Sciences,26,5480348,86020,1477.605,2020-09-04
AltMed Florida (MüV),25,15545730,236911,3923.347,2020-09-04
Fluent,21,5626303,213375,1652.727,2020-09-04
GrowHealthy,16,3359286,7137,2515.146,2020-09-04
VidaCann,16,1687771,63683,871.202,2020-09-04
Columbia Care Florida,13,257718,21090,231.823,2020-09-04
MedMen,10,1213815,12750,314.531,2020-09-04
Harvest,6,1325665,3010,574.793,2020-09-04
GTI (Rise Dispensaries),6,947827,11299,1286.335,2020-09-04
One Plant,4,935526,0,654.874,2020-09-04
The Botanist,1,0,0,160.742,2020-09-04
Revolution Florida,0,0,0,0.0,2020-09-04
"Perkins Nursery, Inc",0,0,0,0.0,2020-09-04
The Source,0,0,0,0.375,2020-09-04
"Sanctuary Medicinals, LLC",0,0,0,0.07,2020-09-04
Trulieve,57,62096841,1637082,21030.701,2020-08-28
Surterra Welln ess,39,11526723,1467854,5281.755,2020-08-28
Curaleaf,33,14725136,273318,2987.978,2020-08-28
Liberty Health Sciences,26,8366260,161465,2616.9,2020-08-28
AltMed Florida (MüV),25,14770834,222880,2344.368,2020-08-28
Fluent,21,5655729,241545,1061.659,2020-08-28
GrowHealthy,16,2834622,17319,2786.714,2020-08-28
VidaCann,15,1928129,61997,915.292,2020-08-28
Columbia Care Florida,13,359041,19620,291.832,2020-08-28
MedMen,10,1071833,14270,297.653,2020-08-28
Harvest,6,1214945,2638,654.01,2020-08-28
GTI (Rise Dispensaries),6,765836,16026,1179.424,2020-08-28
One Plant,4,1114832,822,706.142,2020-08-28
The Botanist,1,0,0,137.479,2020-08-28
Revolution Florida,0,0,0,0.0,2020-08-28
"Perkins Nursery, Inc",0,0,0,0.0,2020-08-28
The Source,0,0,0,0.0,2020-08-28
Trulieve,56,58680121,1206471,23051.845,2020-08-21
Surterra Welln ess,39,12842315,1632870,4428.351,2020-08-21
Curaleaf,32,12502637,196736,3401.506,2020-08-21
Liberty Health Sciences,26,6579350,71660,4673.055,2020-08-21
AltMed Florida (MüV),25,14615429,252626,3269.847,2020-08-21
Fluent,21,5336266,185100,641.564,2020-08-21
GrowHealthy,16,2021859,32812,2635.95,2020-08-21
VidaCann,15,2618225,104652,995.869,2020-08-21
Columbia Care Florida,13,228737,20130,376.178,2020-08-21
MedMen,10,948933,12220,287.633,2020-08-21
Harvest,6,1214891,7448,615.005,2020-08-21
GTI (Rise Dispensaries),6,806983,14445,967.622,2020-08-21
One Plant,4,637968,0,656.854,2020-08-21
The Botanist,1,0,0,94.093,2020-08-21
Revolution Florida,0,0,0,0.0,2020-08-21
"Perkins Nursery, Inc",0,0,0,0.5,2020-08-21
The Source,0,0,0,0.0,2020-08-21
Trulieve,56,54633960,1224437,24429.22,2020-08-14
Surterra Welln ess,39,12735802,1522963,4834.935,2020-08-14
Curaleaf,32,11254844,219836,2933.038,2020-08-14
Liberty Health Sciences,26,5442625,76720,2803.669,2020-08-14
AltMed Florida (MüV),24,13036048,266870,2987.382,2020-08-14
Fluent,21,6040305,229530,1220.111,2020-08-14
GrowHealthy,16,2704259,8343,2787.525,2020-08-14
VidaCann,15,2926598,76451,1041.315,2020-08-14
Columbia Care Florida,13,217680,25260,431.059,2020-08-14
MedMen,10,1152284,9270,237.184,2020-08-14
Harvest,6,1212692,2923,761.134,2020-08-14
GTI (Rise Dispensaries),6,933868,14441,983.644,2020-08-14
One Plant,4,759582,1291,599.709,2020-08-14
The Botanist,1,0,0,95.356,2020-08-14
Revolution Florida,0,0,0,0.0,2020-08-14
"Perkins Nursery, Inc",0,0,0,0.0,2020-08-14
Trulieve,54,65440771,1149258,20161.865,2020-08-07
Surterra Welln ess,39,13151570,1765209,5141.749,2020-08-07
Curaleaf,32,12533835,210161,3453.923,2020-08-07
Liberty Health Sciences,26,6907250,77380,1136.97,2020-08-07
AltMed Florida (MüV),23,16792503,285534,3350.968,2020-08-07
Fluent,20,6634354,253788,1196.757,2020-08-07
GrowHealthy,16,3161849,10984,2789.135,2020-08-07
VidaCann,14,3407479,68117,1212.98,2020-08-07
Columbia Care Florida,13,240180,20520,376.987,2020-08-07
MedMen,10,1055782,7580,258.151,2020-08-07
Harvest,6,1200226,7390,569.495,2020-08-07
GTI (Rise Dispensaries),6,953118,17690,840.273,2020-08-07
One Plant,4,853394,0,576.642,2020-08-07
The Botanist,1,0,0,131.089,2020-08-07
Revolution Florida,0,0,0,0.0,2020-08-07
"Perkins Nursery, Inc",0,0,0,0.5,2020-08-07
Trulieve,53,71095845,1237883,20403.162,2020-07-31
Surterra Welln ess,39,12094604,1576514,4604.045,2020-07-31
Curaleaf,31,13019199,305624,2372.482,2020-07-31
Liberty Health Sciences,26,6810175,112572,1693.95,2020-07-31
AltMed Florida (MüV),23,14574737,218494,3501.78,2020-07-31
Fluent,20,6311706,294300,1073.921,2020-07-31
GrowHealthy,16,2655578,21153,2326.158,2020-07-31
VidaCann,14,3551239,68226,1024.21,2020-07-31
Columbia Care Florida,13,308172,16650,569.493,2020-07-31
MedMen,10,847698,14049,142.967,2020-07-31
Harvest,6,1234647,3340,938.6,2020-07-31
GTI (Rise Dispensaries),6,980126,13701,1281.61,2020-07-31
One Plant,4,1028638,0,396.8,2020-07-31
The Botanist,1,0,0,77.402,2020-07-31
Revolution Florida,0,0,0,0.0,2020-07-31
"Perkins Nursery, Inc",0,0,0,0.25,2020-07-31
Trulieve,53,53485946,1107886,19300.039,2020-07-24
Surterra Welln ess,39,10996801,1398095,3080.325,2020-07-24
Curaleaf,31,13105521,220265,1773.475,2020-07-24
Liberty Health Sciences,26,6659503,102736,2313.874,2020-07-24
AltMed Florida (MüV),23,12696697,119529,3583.629,2020-07-24
Fluent,20,5954215,163790,1219.489,2020-07-24
GrowHealthy,16,2617576,28276,1978.339,2020-07-24
VidaCann,14,3993004,64929,877.271,2020-07-24
Columbia Care Florida,13,396584,20550,718.011,2020-07-24
MedMen,10,931407,10560,168.029,2020-07-24
Harvest,6,353657,5090,917.313,2020-07-24
GTI (Rise Dispensaries),6,965070,10965,1460.931,2020-07-24
One Plant,4,666593,0,374.899,2020-07-24
The Botanist,1,0,0,51.627,2020-07-24
Revolution Florida,0,0,0,0.0,2020-07-24
"Perkins Nursery, Inc",0,0,0,0.0,2020-07-24
Trulieve,52,63718077,1167594,19457.752,2020-07-17
Surterra Welln ess,39,11493515,1506107,2210.651,2020-07-17
Curaleaf,30,9386668,178320,2649.86,2020-07-17
Liberty Health Sciences,26,7738447,94851,3049.329,2020-07-17
AltMed Florida (MüV),23,12698443,155104,2837.692,2020-07-17
Fluent,20,6615480,208940,1122.855,2020-07-17
GrowHealthy,16,2428869,29368,2654.997,2020-07-17
VidaCann,14,3807669,100821,824.943,2020-07-17
Columbia Care Florida,13,219530,19950,574.137,2020-07-17
MedMen,10,770069,11080,169.902,2020-07-17
Harvest,6,793210,4353,789.877,2020-07-17
GTI (Rise Dispensaries),6,793201,8949,646.502,2020-07-17
One Plant,4,872984,0,420.724,2020-07-17
The Botanist,1,0,0,47.263,2020-07-17
Revolution Florida,0,0,0,0.0,2020-07-17
"Perkins Nursery, Inc",0,0,0,0.0,2020-07-17
Trulieve,51,69591787,1354438,25178.932,2020-07-10
Surterra Welln ess,39,13348862,2038656,4052.935,2020-07-10
Curaleaf,29,11610724,250342,2783.224,2020-07-10
Liberty Health Sciences,26,7344273,126141,4365.044,2020-07-10
AltMed Florida (MüV),23,14476950,190423,3096.825,2020-07-10
Fluent,20,7620948,246620,1600.461,2020-07-10
GrowHealthy,16,4170205,24078,2040.134,2020-07-10
VidaCann,14,3942891,69446,917.169,2020-07-10
Columbia Care Florida,13,219460,15600,796.055,2020-07-10
MedMen,10,901220,12181,149.147,2020-07-10
Harvest,6,1010066,9479,742.694,2020-07-10
GTI (Rise Dispensaries),6,920197,15806,669.399,2020-07-10
One Plant,4,2299277,845,447.831,2020-07-10
The Botanist,1,0,0,99.961,2020-07-10
Revolution Florida,0,0,0,0.0,2020-07-10
"Perkins Nursery, Inc",0,0,0,0.0,2020-07-10
Trulieve,51,57092271,1463193,15713.5,2020-07-02
Surterra Welln ess,39,9338973,1172418,3500.362,2020-07-02
Curaleaf,28,9379259,176564,2662.844,2020-07-02
Liberty Health Sciences,25,4832982,85158,4146.795,2020-07-02
AltMed Florida (MüV),23,10334738,143993,2160.584,2020-07-02
Fluent,20,5215126,230825,1175.665,2020-07-02
GrowHealthy,16,2810749,13026,1258.358,2020-07-02
VidaCann,13,2553717,48039,484.686,2020-07-02
Columbia Care Florida,13,146190,22050,626.49,2020-07-02
MedMen,10,677186,7150,119.157,2020-07-02
Harvest,6,853350,7680,502.16,2020-07-02
GTI (Rise Dispensaries),6,693674,11716,791.756,2020-07-02
One Plant,4,710372,0,407.364,2020-07-02
The Botanist,1,0,0,98.686,2020-07-02
"Perkins Nursery, Inc",0,0,0,0.0,2020-07-02
Trulieve,50,49720127,1243791,19651.009,2020-06-26
Surterra Welln ess,39,13597713,1598192,4618.529,2020-06-26
Curaleaf,28,10801043,208735,3493.565,2020-06-26
Liberty Health Sciences,25,5970885,91939,2620.894,2020-06-26
AltMed Florida (MüV),23,11855934,169835,2662.417,2020-06-26
Fluent,20,6379171,257760,1403.462,2020-06-26
GrowHealthy,16,3970443,22481,2284.216,2020-06-26
VidaCann,13,3287040,63284,556.316,2020-06-26
Columbia Care Florida,13,226795,23400,641.459,2020-06-26
MedMen,10,776580,11000,145.57,2020-06-26
Harvest,6,748988,1450,628.553,2020-06-26
GTI (Rise Dispensaries),6,895056,20148,634.344,2020-06-26
One Plant,4,1278131,0,450.181,2020-06-26
The Botanist,1,0,0,50.581,2020-06-26
"Perkins Nursery, Inc",0,0,0,0.0,2020-06-26
Trulieve,48,61663661,1333227,20535.588,2020-06-19
Surterra Welln ess,39,10580963,1982146,4350.664,2020-06-19
Curaleaf,28,10240602,206396,3214.585,2020-06-19
Liberty Health Sciences,25,6002792,115342,2476.019,2020-06-19
AltMed Florida (MüV),23,12336971,176104,2745.229,2020-06-19
Fluent,20,6458815,211370,1207.727,2020-06-19
GrowHealthy,16,3071085,34406,1605.06,2020-06-19
VidaCann,13,3638246,65412,575.308,2020-06-19
Columbia Care Florida,13,240950,17100,480.915,2020-06-19
MedMen,10,783597,9381,176.457,2020-06-19
Harvest,6,841295,4205,539.939,2020-06-19
GTI (Rise Dispensaries),6,742716,14168,690.254,2020-06-19
One Plant,3,918700,0,500.964,2020-06-19
The Botanist,1,0,0,76.339,2020-06-19
Trulieve,48,59193738,1285049,16969.231,2020-06-12
Surterra Welln ess,39,10289200,1635215,4209.213,2020-06-12
Curaleaf,28,10382384,223649,2770.327,2020-06-12
Liberty Health Sciences,24,5858117,101366,2543.349,2020-06-12
AltMed Florida (MüV),23,10162863,182918,2390.054,2020-06-12
Fluent,20,5060998,203820,1242.455,2020-06-12
GrowHealthy,16,2995982,63374,2623.355,2020-06-12
VidaCann,13,3001128,62950,491.325,2020-06-12
Columbia Care Florida,13,114300,13650,437.35,2020-06-12
MedMen,10,821282,12760,166.172,2020-06-12
Harvest,6,843942,1450,573.276,2020-06-12
GTI (Rise Dispensaries),6,635491,10207,497.523,2020-06-12
One Plant,3,1367006,0,514.114,2020-06-12
The Botanist,1,0,0,77.254,2020-06-12
Trulieve,48,59430226,1598178,20218.855,2020-06-05
Surterra Welln ess,39,16195063,1441574,4093.996,2020-06-05
Curaleaf,28,9586672,243212,2101.773,2020-06-05
Liberty Health Sciences,24,5824511,113292,2660.294,2020-06-05
AltMed Florida (MüV),23,9904190,183299,2612.747,2020-06-05
Fluent,20,5313616,259630,1246.139,2020-06-05
GrowHealthy,16,2863449,69845,1556.605,2020-06-05
VidaCann,13,3108284,60569,438.805,2020-06-05
Columbia Care Florida,13,138960,16500,401.175,2020-06-05
MedMen,10,448490,5320,103.846,2020-06-05
Harvest,6,943473,4355,511.182,2020-06-05
GTI (Rise Dispensaries),6,686688,18694,465.534,2020-06-05
The Botanist,1,0,0,83.137,2020-06-05
Trulieve,48,60456214,1659521,19440.396,2020-05-29
Surterra Welln ess,39,12433035,430142,4017.518,2020-05-29
Curaleaf,28,8538219,241909,2198.285,2020-05-29
Liberty Health Sciences,23,6334392,116840,3548.008,2020-05-29
AltMed Florida (MüV),23,9845411,152883,1946.82,2020-05-29
Fluent,20,5834379,318090,1313.511,2020-05-29
GrowHealthy,16,3475977,101451,1669.221,2020-05-29
VidaCann,13,3037917,82076,449.276,2020-05-29
Columbia Care Florida,13,126600,4800,315.625,2020-05-29
MedMen,10,612574,10540,154.183,2020-05-29
Harvest,6,839839,3855,595.581,2020-05-29
GTI (Rise Dispensaries),6,623899,15494,488.045,2020-05-29
One Plant,3,642866,406,506.332,2020-05-29
The Botanist,1,0,0,56.628,2020-05-29
Trulieve,48,53817988,1211756,18267.265,2020-05-22
Surterra Welln ess,39,12128895,455328,4047.392,2020-05-22
Curaleaf,28,8213157,200046,2129.349,2020-05-22
Liberty Health Sciences,23,5656012,100947,2048.363,2020-05-22
AltMed Florida (MüV),21,9865800,130912,2081.972,2020-05-22
Fluent,20,5738333,285845,1115.737,2020-05-22
GrowHealthy,16,5809388,81978,1337.69,2020-05-22
VidaCann,13,3317629,76920,511.383,2020-05-22
Columbia Care Florida,13,136065,16800,465.76,2020-05-22
MedMen,10,541272,8530,198.571,2020-05-22
Harvest,6,752441,1910,555.969,2020-05-22
GTI (Rise Dispensaries),6,727258,11501,408.695,2020-05-22
One Plant,3,1119265,432,417.585,2020-05-22
The Botanist,1,0,0,57.842,2020-05-22
Trulieve,47,51085558,1176486,18284.465,2020-05-15
Surterra Welln ess,39,11911203,498724,3776.534,2020-05-15
Curaleaf,28,8171501,138407,2195.916,2020-05-15
Liberty Health Sciences,23,5358971,95252,3348.566,2020-05-15
AltMed Florida (MüV),21,7923005,130845,1964.819,2020-05-15
Fluent,20,4936488,218970,939.644,2020-05-15
GrowHealthy,16,3298249,67650,1876.13,2020-05-15
VidaCann,13,3413499,79695,477.663,2020-05-15
Columbia Care Florida,13,121650,21900,571.375,2020-05-15
MedMen,10,538081,8320,204.934,2020-05-15
Harvest,6,704489,4400,524.211,2020-05-15
GTI (Rise Dispensaries),6,673230,18345,428.938,2020-05-15
One Plant,3,325007,0,463.253,2020-05-15
The Botanist,1,0,0,77.813,2020-05-15
Trulieve,47,53840485,1284720,18695.003,2020-05-08
Surterra Welln ess,39,13565637,479606,3176.436,2020-05-08
Curaleaf,28,8836254,153406,2136.58,2020-05-08
Liberty Health Sciences,23,5429516,89614,2872.258,2020-05-08
Fluent,20,5109466,193725,1043.119,2020-05-08
AltMed Florida (MüV),19,9175095,155746,2319.088,2020-05-08
GrowHealthy,15,2887706,66181,1568.971,2020-05-08
VidaCann,13,3302276,68079,531.852,2020-05-08
Columbia Care Florida,13,120000,22050,440.625,2020-05-08
MedMen,10,783185,18828,246.245,2020-05-08
Harvest,6,694789,4223,512.242,2020-05-08
GTI (Rise Dispensaries),6,734284,9488,563.103,2020-05-08
One Plant,3,385167,635,406.598,2020-05-08
The Botanist,1,0,0,76.037,2020-05-08
Trulieve,46,59258872,1068621,16913.704,2020-05-01
Surterra Welln ess,39,11838314,353718,2922.63,2020-05-01
Curaleaf,28,8368194,198675,1602.46,2020-05-01
Liberty Health Sciences,23,5223010,68333,3968.192,2020-05-01
Fluent,20,5229724,221100,963.38,2020-05-01
AltMed Florida (MüV),19,9962559,168755,2296.203,2020-05-01
GrowHealthy,14,2602085,91093,1381.857,2020-05-01
VidaCann,13,2940272,45272,577.149,2020-05-01
Columbia Care Florida,13,123600,12000,266.925,2020-05-01
MedMen,10,1067011,25411,337.085,2020-05-01
Harvest,6,653227,2175,457.381,2020-05-01
